S-no,Agency,Date of announcement,State,Date of running,News Headings Short,News heading,Matching keyword,links,Relevancy
170,EPA,07-10-2023,Others,07-11-2023,"EPA Announces Nearly $500,000 in Grant Funding for High-Risk Houston Communities","EPA Announces Nearly $500,000 in Grant Funding for High-Risk Houston Communities",grant,https://www.epa.gov/newsreleases/epa-announces-nearly-500000-grant-funding-high-risk-houston-communities,Irrelevant
171,Broadband Money,07-12-2023,Utah,7/13/2023,"Gigi Sohn warns against attacks on broadband freedom of choice
July 12, 2023
Sohn was standing up fo...more","Gigi Sohn warns against attacks on broadband freedom of choice
July 12, 2023
Sohn was standing up for the UTOPIA Fiber open access network in Utah, in which dozens of competitive ISPs offer their services to businesses and residents.
Tera Whipple",broadband,https://broadband.money/broadband-grant-expert/tera-whipple,Irrelevant
172,EPA,07/31/2023,Others,08-01-2023,$10 million grant opportunity to advance environmental justice in New England,$10 million grant opportunity to advance environmental justice in New England,grant,https://www.epa.gov/newsreleases/10-million-grant-opportunity-advance-environmental-justice-new-england, 
173,EPA,07/26/2023,Florida,08-01-2023,Biden-Harris Administration Announces $305 Million in WIFIA Loans for Water Supply Sustainability in...more,Biden-Harris Administration Announces $305 Million in WIFIA Loans for Water Supply Sustainability in Central Florida,wifi,https://www.epa.gov/newsreleases/biden-harris-administration-announces-305-million-wifia-loans-water-supply, 
174,EPA,07/25/2023,New Mexico,08-01-2023,EPA Bipartisan Infrastructure Law Grant to Southwest Environmental Finance Center at Univ. of New Me...more,EPA Bipartisan Infrastructure Law Grant to Southwest Environmental Finance Center at Univ. of New Mexico to Help Communities Access Funds for Infrastructure Projects,grant,https://www.epa.gov/newsreleases/epa-bipartisan-infrastructure-law-grant-southwest-environmental-finance-center-univ, 
175,EPA,07/25/2023,Others,08-01-2023,EPA Celebrates Historic Funding and Partnership as it Directs $14 Million in Grants to PA for Farmer...more,"EPA Celebrates Historic Funding and Partnership as it Directs $14 Million in Grants to PA for Farmers’ Conservation Efforts, Chesapeake Bay Restoration Goals",grant,https://www.epa.gov/newsreleases/epa-celebrates-historic-funding-and-partnership-it-directs-14-million-grants-pa, 
176,Internet for All,07/27/2023,Others,08-01-2023,Biden-Harris Administration Announces Nearly $1 Billion in New Internet for All Funding Available to...more,Biden-Harris Administration Announces Nearly $1 Billion in New Internet for All Funding Available to Tribal Lands,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-nearly-1-billion-new-internet-all-funding, 
177,Internet for All,07/20/2023,Others,08-01-2023,Biden-Harris Administration Announces Nearly $4 Million in Internet for All Grants to Tribal Lands,Biden-Harris Administration Announces Nearly $4 Million in Internet for All Grants to Tribal Lands,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-nearly-4-million-internet-all-grants-tribal-lands, 
178,USDA,07/31/2023,Others,08-01-2023,Biden-Harris Administration Announces New Round of Investments in Wildfire Protection through Commun...more,Biden-Harris Administration Announces New Round of Investments in Wildfire Protection through Community Wildfire Defense Grants,grant,https://www.usda.gov/media/press-releases/2023/07/31/biden-harris-administration-announces-new-round-investments, 
179,USDA,07/24/2023,Others,08-01-2023,"USDA Invests in Research, Extension and Education at 1890 Land-grant Universities","USDA Invests in Research, Extension and Education at 1890 Land-grant Universities",grant,https://www.usda.gov/media/press-releases/2023/07/24/usda-invests-research-extension-and-education-1890-land-grant, 
180,NCTA,07/31/2023,Others,08-01-2023,Cable Leads the Way in Advancing Secure Internet Routing,Cable Leads the Way in Advancing Secure Internet Routing,internet,https://www.ncta.com/whats-new/cable-leads-the-way-in-advancing-secure-internet-routing, 
181,NCTA,07/27/2023,Others,08-01-2023,Broadband-Enabled Remote Work Opens Up More Opportunities for People With Disabilities,Broadband-Enabled Remote Work Opens Up More Opportunities for People With Disabilities,broadband,https://www.ncta.com/whats-new/broadband-enabled-remote-work-opens-up-more-opportunities-for-people-with-disabilities, 
182,NCTA,07/25/2023,Others,08-01-2023,America’s Expanding Cable Broadband Networks: The Pacific West,America’s Expanding Cable Broadband Networks: The Pacific West,broadband,https://www.ncta.com/whats-new/americas-expanding-cable-broadband-networks-the-pacific-west, 
183,EPA,08-02-2023,Others,08-03-2023,Biden-Harris Administration Announces Availability of $115 Million in Grants to Cut Harmful Diesel E...more,Biden-Harris Administration Announces Availability of $115 Million in Grants to Cut Harmful Diesel Engine Emissions,grant,https://www.epa.gov/newsreleases/biden-harris-administration-announces-availability-115-million-grants-cut-harmful, 
184,NCTA,08-02-2023,Others,08-03-2023,Broadband Stats: The Future is Super-Fast,Broadband Stats: The Future is Super-Fast,broadband,https://www.ncta.com/whats-new/broadband-stats-the-future-is-super-fast, 
185,DOC,08-03-2023,Others,08-07-2023,U.S. Secretary of Commerce Gina Raimondo Announces Onshoring of Broadband Electronics Equipment,U.S. Secretary of Commerce Gina Raimondo Announces Onshoring of Broadband Electronics Equipment,broadband,https://www.commerce.gov/news/press-releases/2023/08/us-secretary-commerce-gina-raimondo-announces-onshoring-broadband, 
186,DOC,08/08/2023,Others,08/09/2023,Biden-Harris Administration Awards First Grants from Wireless Innovation Fund,Biden-Harris Administration Awards First Grants from Wireless Innovation Fund,grant,https://www.commerce.gov/news/press-releases/2023/08/biden-harris-administration-awards-first-grants-wireless-innovation, 
187,NCTA,08/08/2023,Others,08/09/2023,DOCSIS 4.0: Technology Powering the Next Generation of Internet Connectivity,DOCSIS 4.0: Technology Powering the Next Generation of Internet Connectivity,internet,https://www.ncta.com/whats-new/docsis-40-technology-powering-the-next-generation-of-internet-connectivity, 
188,NCTA,08/01/2023,Others,08/09/2023,Why Do We Use Bits to Measure Internet Speed but Bytes to Measure Data?,Why Do We Use Bits to Measure Internet Speed but Bytes to Measure Data?,internet,https://www.ncta.com/whats-new/why-do-we-use-bits-measure-internet-speed-but-bytes-measure-data, 
189,EPA,08/15/2023,Nevada,08/16/2023,"Educational Organization in Reno, Nevada Wins EPA Grant to Advance Environmental Efforts","Educational Organization in Reno, Nevada Wins EPA Grant to Advance Environmental Efforts",grant,https://www.epa.gov/newsreleases/educational-organization-reno-nevada-wins-epa-grant-advance-environmental-efforts, 
190,EPA,08/15/2023,Others,08/16/2023,Biden-Harris Administration Announces $4.5 million in Grants for Region 6 States to Upgrade Stormwat...more,Biden-Harris Administration Announces $4.5 million in Grants for Region 6 States to Upgrade Stormwater and Sewer Infrastructure,grant,https://www.epa.gov/newsreleases/biden-harris-administration-announces-45-million-grants-region-6-states-upgrade, 
191,EPA,08/15/2023,California,08/16/2023,Educational Organizations in California’s Orange and Tulare Counties Win EPA Grants to Advance Envir...more,Educational Organizations in California’s Orange and Tulare Counties Win EPA Grants to Advance Environmental Efforts,grant,https://www.epa.gov/newsreleases/educational-organizations-californias-orange-and-tulare-counties-win-epa-grants, 
192,EPA,08/15/2023,Others,08/16/2023,EPA announces $13M grant to Deep South Center for Environmental Justice to help communities access h...more,EPA announces $13M grant to Deep South Center for Environmental Justice to help communities access historic funding under Biden-Harris Administration’s Investing in America agenda,grant,https://www.epa.gov/newsreleases/epa-announces-13m-grant-deep-south-center-environmental-justice-help-communities, 
193,EPA,08/15/2023,Others,08/16/2023,EPA Awards Nearly $8.5M in Research Grants to Ensure Cleaner and Safer Drinking Water,EPA Awards Nearly $8.5M in Research Grants to Ensure Cleaner and Safer Drinking Water,grant,https://www.epa.gov/newsreleases/epa-awards-nearly-85m-research-grants-ensure-cleaner-and-safer-drinking-water, 
194,EPA,08/15/2023,Arizona,08/16/2023,University of Arizona Wins EPA Grant to Advance Statewide Environmental Education Efforts,University of Arizona Wins EPA Grant to Advance Statewide Environmental Education Efforts,grant,https://www.epa.gov/newsreleases/university-arizona-wins-epa-grant-advance-statewide-environmental-education-efforts, 
195,EPA,08/14/2023,Others,08/16/2023,EPA Awards $11M in Research Grants to Address Energy Transitions in Underserved Communities,EPA Awards $11M in Research Grants to Address Energy Transitions in Underserved Communities,grant,https://www.epa.gov/newsreleases/epa-awards-11m-research-grants-address-energy-transitions-underserved-communities, 
196,EPA,08/11/2023,Others,08/16/2023,"MONDAY: EPA, Rep. Troy Carter to Recognize Deep South Center for Environmental Justice for $13M Gran...more","MONDAY: EPA, Rep. Troy Carter to Recognize Deep South Center for Environmental Justice for $13M Grant in New Orleans",grant,https://www.epa.gov/newsreleases/monday-epa-rep-troy-carter-recognize-deep-south-center-environmental-justice-13m-grant, 
197,DOC,08/14/2023,Ohio,08/16/2023,Treasury Department Announces Approval of Federal Funds to Connect Tens of Thousands of Ohio Homes a...more,"Treasury Department Announces Approval of Federal Funds to Connect Tens of Thousands of Ohio Homes and Businesses to Affordable, High-Speed Internet as Part of President Biden’s Investing in America Agenda",internet,https://home.treasury.gov/news/press-releases/jy1692, 
198,NCTA,08/10/2023,Others,08/16/2023,Midco's Commitment to Rural Broadband Expansion,Midco's Commitment to Rural Broadband Expansion,broadband,https://www.ncta.com/whats-new/midcos-commitment-rural-broadband-expansion, 
199,Internet for All,08/16/2023,Others,08/17/2023,Biden-Harris Administration Announces Investments in Domestic Production of Electronics Equipment us...more,Biden-Harris Administration Announces Investments in Domestic Production of Electronics Equipment used in High-Speed Internet Networks,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-investments-domestic-production-electronics, 
200,EPA,08/17/2023,Maine,08/18/2023,University of Maine Selected for $1+ Million EPA Research Grant to Address Energy Transitions in Und...more,University of Maine Selected for $1+ Million EPA Research Grant to Address Energy Transitions in Underserved Communities,grant,https://www.epa.gov/newsreleases/university-maine-selected-1-million-epa-research-grant-address-energy-transitions, 
201,EPA,08/17/2023,Others,08/18/2023,UMass Amherst Selected for $1+ Million EPA Research Grant to Address Energy Transitions in Underserv...more,UMass Amherst Selected for $1+ Million EPA Research Grant to Address Energy Transitions in Underserved Communities,grant,https://www.epa.gov/newsreleases/umass-amherst-selected-1-million-epa-research-grant-address-energy-transitions, 
202,USDA,08/21/2023,Others,08/23/2023,Biden-Harris Administration Announces Nearly $700 Million to Connect People in Remote and Rural Area...more,Biden-Harris Administration Announces Nearly $700 Million to Connect People in Remote and Rural Areas to High-Speed Internet,internet,https://www.usda.gov/media/press-releases/2023/08/21/biden-harris-administration-announces-nearly-700-million-connect, 
203,EPA,08/23/2023,Minnesota,08/24/2023,EPA Joins Minnesota Leaders to Highlight Climate Pollution Reduction Grants,EPA Joins Minnesota Leaders to Highlight Climate Pollution Reduction Grants,grant,https://www.epa.gov/newsreleases/epa-joins-minnesota-leaders-highlight-climate-pollution-reduction-grants, 
204,USDA,08/23/2023,Others,08/24/2023,USDA Announces $72.9 Million in Grant Funding Awarded to Support U.S. Specialty Crop Producers; Mark...more,USDA Announces $72.9 Million in Grant Funding Awarded to Support U.S. Specialty Crop Producers; Marks $1 Billion in Investments through this Program,grant,https://www.usda.gov/media/press-releases/2023/08/23/usda-announces-729-million-grant-funding-awarded-support-us, 
205,EPA,08/24/2023,Missouri,08/25/2023,"EPA Region 7 Presents $500K Check to City of St. Louis, Missouri, After Selection for Brownfields Gr...more","EPA Region 7 Presents $500K Check to City of St. Louis, Missouri, After Selection for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-presents-500k-check-city-st-louis-missouri-after-selection-brownfields, 
206,Internet for All,08/24/2023,Others,08/25/2023,Biden-Harris Administration Announces Nearly $3.5 Million in Internet for All Grants to Tribal Lands,Biden-Harris Administration Announces Nearly $3.5 Million in Internet for All Grants to Tribal Lands,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-nearly-35-million-internet-all-grants-tribal-land, 
207,EPA,08/28/2023,Nebraska,08/29/2023,EPA Selects University of Nebraska-Lincoln for Nearly $100K Grant Toward Groundwater Environmental P...more,EPA Selects University of Nebraska-Lincoln for Nearly $100K Grant Toward Groundwater Environmental Project,grant,https://www.epa.gov/newsreleases/epa-selects-university-nebraska-lincoln-nearly-100k-grant-toward-groundwater, 
208,EPA,08/30/2023,Others,08/31/2023,Biden-Harris Administration Announces Availability of $350 Million in Grants to States to Cut Methan...more,Biden-Harris Administration Announces Availability of $350 Million in Grants to States to Cut Methane Emissions from Oil and Gas Sector,grant,https://www.epa.gov/newsreleases/biden-harris-administration-announces-availability-350-million-grants-states-cut, 
209,Internet for All,09/06/2023,Others,09/07/2023,Biden-Harris Administration Awards Nearly $50 Million to Expand and Strengthen Regional and National...more,Biden-Harris Administration Awards Nearly $50 Million to Expand and Strengthen Regional and National Internet Networks,internet,https://www.internet4all.gov/news-media/biden-harris-administration-awards-nearly-50-million-expand-and-strengthen-regional-and, 
210,NCTA,09/06/2023,Others,09/07/2023,America’s Expanding Cable Broadband Networks: The Mid-Atlantic,America’s Expanding Cable Broadband Networks: The Mid-Atlantic,broadband,https://www.ncta.com/whats-new/americas-expanding-cable-broadband-networks-the-mid-atlantic, 
211,USDA,09/18/2023,Others,09/19/2023,"Secretaries of Education, Agriculture Call on Governors to Equitably Fund Land-Grant HBCUs","Secretaries of Education, Agriculture Call on Governors to Equitably Fund Land-Grant HBCUs",grant,https://www.usda.gov/media/press-releases/2023/09/18/secretaries-education-agriculture-call-governors-equitably-fund, 
212,Internet for All,09/22/2023,Others,09/23/2023,Biden-Harris Administration Announces Investments in Domestic Production of Electronics Equipment Us...more,Biden-Harris Administration Announces Investments in Domestic Production of Electronics Equipment Used in High-Speed Internet Networks,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-investments-domestic-production-electronics-0, 
213,Internet for All,09/27/2023,Others,09/28/2023,Biden-Harris Administration Announces Over $74.4 Million in Internet for All Grants to Tribal Lands,Biden-Harris Administration Announces Over $74.4 Million in Internet for All Grants to Tribal Lands,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-over-744-million-internet-all-grants-tribal-lands, 
214,NCTA,09/27/2023,Others,09/28/2023,Broadband Stats: Greening Network Equipment,Broadband Stats: Greening Network Equipment,broadband,https://www.ncta.com/whats-new/broadband-stats-greening-network-equipment, 
215,Broadband Money,09/18/2023,Others,09/29/2023,12 States Have Filed Volume 1 of BEAD Initial Proposals,12 States Have Filed Volume 1 of BEAD Initial Proposals,bead,https://broadband.money/blog-categories/bead, 
